,Year,Station Name,State,rain_sum
500,1997,PEIXE ,TO,1803.6999999999994
501,1997,PORTO DE MOZ ,PA,1770.2000000000005
502,1997,PORTO NACIONAL ,TO,1527.0
503,1997,RIO BRANCO ,AC,2180.4
504,1997,S G DA CACHOEIRA UAUPES  ,AM,2534.400000000002
505,1997,SAO LUIS ,MA,1421.1999999999998
506,1997,SOURE ,PA,2888.9999999999995
507,1997,TAGUATINGA ,TO,1700.8999999999996
508,1997,TARAUACA ,AC,2050.8000000000006
509,1997,TEFE ,AM,2110.1000000000004
510,1997,TRACUATEUA ,PA,1888.7
511,1997,TURIACU ,MA,1390.9999999999998
512,1997,ZE DOCA ,MA,1768.5
513,1998,ALTAMIRA ,PA,1963.9999999999995
514,1998,ALTO PARNAIBA ,MA,1031.3
515,1998,ARAGUAINA ,TO,1663.499999999999
516,1998,BACABAL ,MA,1784.799999999999
517,1998,BALSAS ,MA,722.4999999999997
518,1998,BARCELOS ,AM,2014.9000000000008
519,1998,BARRA DO CORDA ,MA,944.2999999999996
520,1998,BELEM ,PA,2932.4999999999995
521,1998,BELTERRA ,PA,1218.0999999999995
522,1998,BENJAMIN CONSTANT ,AM,2078.1
523,1998,BOA VISTA ,RR,2187.499999999999
524,1998,BREVES ,PA,1916.6999999999994
525,1998,CACERES ,MT,1591.8999999999996
526,1998,CAMETA ,PA,2283.7000000000016
527,1998,CANARANA ,MT,1242.5000000000005
528,1998,CARACARAI ,RR,2076.100000000001
529,1998,CAROLINA ,MA,1204.8999999999996
530,1998,CAXIAS ,MA,924.0000000000001
531,1998,CHAPADINHA ,MA,1307.6
532,1998,COARI ,AM,2002.500000000001
533,1998,CODAJAS ,AM,3261.600000000001
534,1998,COLINAS ,MA,889.2999999999998
535,1998,CONCEICAO DO ARAGUAIA ,PA,1673.1000000000004
536,1998,CRUZEIRO DO SUL ,AC,1933.1000000000004
537,1998,CUIABA ,MT,1611.8000000000006
538,1998,DIAMANTINO ,MT,1687.8999999999999
539,1998,EIRUNEPE ,AM,2367.900000000003
540,1998,FONTE BOA ,AM,3124.8000000000006
541,1998,GLEBA CELESTE ,MT,1738.7000000000012
542,1998,IAUARETE ,AM,2592.4000000000005
543,1998,IMPERATRIZ ,MA,1179.5999999999995
544,1998,ITACOATIARA ,AM,2309.7
545,1998,ITAITUBA ,PA,1632.4
546,1998,LABREA ,AM,1662.3000000000006
547,1998,MACAPA ,AP,2275.0
548,1998,MANAUS ,AM,2200.3999999999996
549,1998,MANICORE ,AM,2096.700000000001
